工作表,单元格,渠道,月份,预算项目,源行,公式,缓存值
总表-渠道二维汇总,CR12,京东自营,2026-01,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CS12,京东自营,2026-02,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CT12,京东自营,2026-03,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CU12,京东自营,2026-04,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CV12,京东自营,2026-05,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CW12,京东自营,2026-06,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CX12,京东自营,2026-07,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CY12,京东自营,2026-08,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,CZ12,京东自营,2026-09,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,DA12,京东自营,2026-10,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,DB12,京东自营,2026-11,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,DC12,京东自营,2026-12,渠道投入/媒介种草,12,"=""""",
总表-渠道二维汇总,EK12,外部分销,2026-01,渠道投入/媒介种草,12,='测算-外部分销'!I$23,
总表-渠道二维汇总,EL12,外部分销,2026-02,渠道投入/媒介种草,12,='测算-外部分销'!J$23,
总表-渠道二维汇总,EM12,外部分销,2026-03,渠道投入/媒介种草,12,='测算-外部分销'!K$23,
总表-渠道二维汇总,EN12,外部分销,2026-04,渠道投入/媒介种草,12,='测算-外部分销'!L$23,
总表-渠道二维汇总,EO12,外部分销,2026-05,渠道投入/媒介种草,12,='测算-外部分销'!M$23,
总表-渠道二维汇总,EP12,外部分销,2026-06,渠道投入/媒介种草,12,='测算-外部分销'!N$23,
总表-渠道二维汇总,EK13,外部分销,2026-01,渠道投入/分销返佣,13,='测算-外部分销'!I$24,
总表-渠道二维汇总,EL13,外部分销,2026-02,渠道投入/分销返佣,13,='测算-外部分销'!J$24,
总表-渠道二维汇总,EM13,外部分销,2026-03,渠道投入/分销返佣,13,='测算-外部分销'!K$24,
总表-渠道二维汇总,EN13,外部分销,2026-04,渠道投入/分销返佣,13,='测算-外部分销'!L$24,
总表-渠道二维汇总,EO13,外部分销,2026-05,渠道投入/分销返佣,13,='测算-外部分销'!M$24,
总表-渠道二维汇总,EP13,外部分销,2026-06,渠道投入/分销返佣,13,='测算-外部分销'!N$24,
总表-渠道二维汇总,U14,抖音,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,V14,抖音,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,W14,抖音,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,X14,抖音,2026-04,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,Y14,抖音,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,Z14,抖音,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AA14,抖音,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AB14,抖音,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AC14,抖音,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AD14,抖音,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AE14,抖音,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AF14,抖音,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AJ14,视频号,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AK14,视频号,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AL14,视频号,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AM14,视频号,2026-04,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AN14,视频号,2026-05,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AO14,视频号,2026-06,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AP14,视频号,2026-07,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AQ14,视频号,2026-08,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AR14,视频号,2026-09,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AS14,视频号,2026-10,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AT14,视频号,2026-11,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AU14,视频号,2026-12,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AY14,天猫淘宝,2026-01,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,AZ14,天猫淘宝,2026-02,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BA14,天猫淘宝,2026-03,渠道投入/退货成本,14,"=""""",
总表-渠道二维汇总,BB14,天猫淘宝,2026-04,渠道投入/退货成本,14,"=""""",
